id,visitors
air_0328696196e46f18_2017-05-16,6.286
air_0328696196e46f18_2017-05-17,6.059
air_0328696196e46f18_2017-05-18,8.294
air_0328696196e46f18_2017-05-19,5.727
air_0328696196e46f18_2017-05-20,7.059
air_0328696196e46f18_2017-05-21,9.529
air_0328696196e46f18_2017-05-22,5.417
air_0328696196e46f18_2017-05-23,6.286
air_0328696196e46f18_2017-05-24,6.059
air_0328696196e46f18_2017-05-25,8.294
air_0328696196e46f18_2017-05-26,5.727
air_0328696196e46f18_2017-05-27,7.059
air_0328696196e46f18_2017-05-28,9.529
air_0328696196e46f18_2017-05-29,5.417
air_0328696196e46f18_2017-05-30,6.286
air_0328696196e46f18_2017-05-31,6.059
air_034a3d5b40d5b1b1_2017-04-23,16.158
air_034a3d5b40d5b1b1_2017-04-24,10.865
air_034a3d5b40d5b1b1_2017-04-25,9.889
air_034a3d5b40d5b1b1_2017-04-26,14.105
air_034a3d5b40d5b1b1_2017-04-27,9.974
air_034a3d5b40d5b1b1_2017-04-28,15.195
air_034a3d5b40d5b1b1_2017-04-29,18.225
air_034a3d5b40d5b1b1_2017-04-30,16.158
air_034a3d5b40d5b1b1_2017-05-01,10.865
air_034a3d5b40d5b1b1_2017-05-02,9.889
air_034a3d5b40d5b1b1_2017-05-03,14.105
air_034a3d5b40d5b1b1_2017-05-04,9.974
air_034a3d5b40d5b1b1_2017-05-05,15.195
air_034a3d5b40d5b1b1_2017-05-06,18.225
air_034a3d5b40d5b1b1_2017-05-07,16.158
air_034a3d5b40d5b1b1_2017-05-08,10.865
air_034a3d5b40d5b1b1_2017-05-09,9.889
air_034a3d5b40d5b1b1_2017-05-10,14.105
air_034a3d5b40d5b1b1_2017-05-11,9.974
air_034a3d5b40d5b1b1_2017-05-12,15.195
air_034a3d5b40d5b1b1_2017-05-13,18.225
air_034a3d5b40d5b1b1_2017-05-14,16.158
air_034a3d5b40d5b1b1_2017-05-15,10.865
air_034a3d5b40d5b1b1_2017-05-16,9.889
air_034a3d5b40d5b1b1_2017-05-17,14.105
air_034a3d5b40d5b1b1_2017-05-18,9.974
air_034a3d5b40d5b1b1_2017-05-19,15.195
air_034a3d5b40d5b1b1_2017-05-20,18.225
air_034a3d5b40d5b1b1_2017-05-21,16.158
air_034a3d5b40d5b1b1_2017-05-22,10.865
air_034a3d5b40d5b1b1_2017-05-23,9.889
air_034a3d5b40d5b1b1_2017-05-24,14.105
air_034a3d5b40d5b1b1_2017-05-25,9.974
air_034a3d5b40d5b1b1_2017-05-26,15.195
air_034a3d5b40d5b1b1_2017-05-27,18.225
air_034a3d5b40d5b1b1_2017-05-28,16.158
air_034a3d5b40d5b1b1_2017-05-29,10.865
air_034a3d5b40d5b1b1_2017-05-30,9.889
air_034a3d5b40d5b1b1_2017-05-31,14.105
air_036d4f1ee7285390_2017-04-23,23.975
air_036d4f1ee7285390_2017-04-24,18.600
air_036d4f1ee7285390_2017-04-25,20.250
air_036d4f1ee7285390_2017-04-26,23.425
air_036d4f1ee7285390_2017-04-27,16.769
air_036d4f1ee7285390_2017-04-28,20.561
air_036d4f1ee7285390_2017-04-29,26.390
air_036d4f1ee7285390_2017-04-30,23.975
air_036d4f1ee7285390_2017-05-01,18.600
air_036d4f1ee7285390_2017-05-02,20.250
air_036d4f1ee7285390_2017-05-03,23.425
air_036d4f1ee7285390_2017-05-04,16.769
air_036d4f1ee7285390_2017-05-05,20.561
air_036d4f1ee7285390_2017-05-06,26.390
air_036d4f1ee7285390_2017-05-07,23.975
air_036d4f1ee7285390_2017-05-08,18.600
air_036d4f1ee7285390_2017-05-09,20.250
air_036d4f1ee7285390_2017-05-10,23.425
air_036d4f1ee7285390_2017-05-11,16.769
air_036d4f1ee7285390_2017-05-12,20.561
air_036d4f1ee7285390_2017-05-13,26.390
air_036d4f1ee7285390_2017-05-14,23.975
air_036d4f1ee7285390_2017-05-15,18.600
air_036d4f1ee7285390_2017-05-16,20.250
air_036d4f1ee7285390_2017-05-17,23.425
air_036d4f1ee7285390_2017-05-18,16.769
air_036d4f1ee7285390_2017-05-19,20.561
air_036d4f1ee7285390_2017-05-20,26.390
air_036d4f1ee7285390_2017-05-21,23.975
air_036d4f1ee7285390_2017-05-22,18.600
air_036d4f1ee7285390_2017-05-23,20.250
air_036d4f1ee7285390_2017-05-24,23.425
air_036d4f1ee7285390_2017-05-25,16.769
air_036d4f1ee7285390_2017-05-26,20.561
air_036d4f1ee7285390_2017-05-27,26.390
air_036d4f1ee7285390_2017-05-28,23.975
air_036d4f1ee7285390_2017-05-29,18.600
air_036d4f1ee7285390_2017-05-30,20.250
air_036d4f1ee7285390_2017-05-31,23.425
air_0382c794b73b51ad_2017-04-23,27.360
air_0382c794b73b51ad_2017-04-24,19.795
air_0382c794b73b51ad_2017-04-25,20.667
air_0382c794b73b51ad_2017-04-26,18.000
air_0382c794b73b51ad_2017-04-27,21.568
air_0382c794b73b51ad_2017-04-28,20.125
air_0382c794b73b51ad_2017-04-29,27.235
air_0382c794b73b51ad_2017-04-30,27.360
air_0382c794b73b51ad_2017-05-01,19.795
air_0382c794b73b51ad_2017-05-02,20.667
air_0382c794b73b51ad_2017-05-03,18.000
air_0382c794b73b51ad_2017-05-04,21.568
air_0382c794b73b51ad_2017-05-05,20.125
air_0382c794b73b51ad_2017-05-06,27.235
air_0382c794b73b51ad_2017-05-07,27.360
air_0382c794b73b51ad_2017-05-08,19.795
air_0382c794b73b51ad_2017-05-09,20.667
air_0382c794b73b51ad_2017-05-10,18.000
air_0382c794b73b51ad_2017-05-11,21.568
air_0382c794b73b51ad_2017-05-12,20.125
air_0382c794b73b51ad_2017-05-13,27.235
air_0382c794b73b51ad_2017-05-14,27.360
air_0382c794b73b51ad_2017-05-15,19.795
air_0382c794b73b51ad_2017-05-16,20.667
air_0382c794b73b51ad_2017-05-17,18.000
air_0382c794b73b51ad_2017-05-18,21.568
air_0382c794b73b51ad_2017-05-19,20.125
air_0382c794b73b51ad_2017-05-20,27.235
air_0382c794b73b51ad_2017-05-21,27.360
air_0382c794b73b51ad_2017-05-22,19.795
air_0382c794b73b51ad_2017-05-23,20.667
air_0382c794b73b51ad_2017-05-24,18.000
air_0382c794b73b51ad_2017-05-25,21.568
air_0382c794b73b51ad_2017-05-26,20.125
air_0382c794b73b51ad_2017-05-27,27.235
air_0382c794b73b51ad_2017-05-28,27.360
air_0382c794b73b51ad_2017-05-29,19.795
air_0382c794b73b51ad_2017-05-30,20.667
air_0382c794b73b51ad_2017-05-31,18.000
air_03963426c9312048_2017-04-23,18.292
air_03963426c9312048_2017-04-24,25.030
air_03963426c9312048_2017-04-25,24.324
air_03963426c9312048_2017-04-26,33.926
air_03963426c9312048_2017-04-27,31.618
air_03963426c9312048_2017-04-28,64.794
air_03963426c9312048_2017-04-29,57.313
air_03963426c9312048_2017-04-30,18.292
air_03963426c9312048_2017-05-01,25.030
air_03963426c9312048_2017-05-02,24.324
air_03963426c9312048_2017-05-03,33.926
air_03963426c9312048_2017-05-04,31.618
air_03963426c9312048_2017-05-05,64.794
air_03963426c9312048_2017-05-06,57.313
air_03963426c9312048_2017-05-07,18.292
air_03963426c9312048_2017-05-08,25.030
air_03963426c9312048_2017-05-09,24.324
air_03963426c9312048_2017-05-10,33.926
air_03963426c9312048_2017-05-11,31.618
air_03963426c9312048_2017-05-12,64.794
air_03963426c9312048_2017-05-13,57.313
air_03963426c9312048_2017-05-14,18.292
air_03963426c9312048_2017-05-15,25.030
air_03963426c9312048_2017-05-16,24.324
air_03963426c9312048_2017-05-17,33.926
air_03963426c9312048_2017-05-18,31.618
air_03963426c9312048_2017-05-19,64.794
air_03963426c9312048_2017-05-20,57.313
air_03963426c9312048_2017-05-21,18.292
air_03963426c9312048_2017-05-22,25.030
air_03963426c9312048_2017-05-23,24.324
air_03963426c9312048_2017-05-24,33.926
air_03963426c9312048_2017-05-25,31.618
air_03963426c9312048_2017-05-26,64.794
air_03963426c9312048_2017-05-27,57.313
air_03963426c9312048_2017-05-28,18.292
air_03963426c9312048_2017-05-29,25.030
air_03963426c9312048_2017-05-30,24.324
air_03963426c9312048_2017-05-31,33.926
air_04341b588bde96cd_2017-04-23,39.288
air_04341b588bde96cd_2017-04-24,34.418
air_04341b588bde96cd_2017-04-25,24.761
air_04341b588bde96cd_2017-04-26,28.765
air_04341b588bde96cd_2017-04-27,29.382
air_04341b588bde96cd_2017-04-28,40.855
air_04341b588bde96cd_2017-04-29,46.687
air_04341b588bde96cd_2017-04-30,39.288
air_04341b588bde96cd_2017-05-01,34.418
air_04341b588bde96cd_2017-05-02,24.761
air_04341b588bde96cd_2017-05-03,28.765
air_04341b588bde96cd_2017-05-04,29.382
air_04341b588bde96cd_2017-05-05,40.855
air_04341b588bde96cd_2017-05-06,46.687
air_04341b588bde96cd_2017-05-07,39.288
air_04341b588bde96cd_2017-05-08,34.418
air_04341b588bde96cd_2017-05-09,24.761
air_04341b588bde96cd_2017-05-10,28.765
air_04341b588bde96cd_2017-05-11,29.382
air_04341b588bde96cd_2017-05-12,40.855
air_04341b588bde96cd_2017-05-13,46.687
air_04341b588bde96cd_2017-05-14,39.288
air_04341b588bde96cd_2017-05-15,34.418
air_04341b588bde96cd_2017-05-16,24.761
air_04341b588bde96cd_2017-05-17,28.765
air_04341b588bde96cd_2017-05-18,29.382
air_04341b588bde96cd_2017-05-19,40.855
air_04341b588bde96cd_2017-05-20,46.687
air_04341b588bde96cd_2017-05-21,39.288
air_04341b588bde96cd_2017-05-22,34.418
air_04341b588bde96cd_2017-05-23,24.761
air_04341b588bde96cd_2017-05-24,28.765
air_04341b588bde96cd_2017-05-25,29.382
air_04341b588bde96cd_2017-05-26,40.855
air_04341b588bde96cd_2017-05-27,46.687
air_04341b588bde96cd_2017-05-28,39.288
air_04341b588bde96cd_2017-05-29,34.418
air_04341b588bde96cd_2017-05-30,24.761
air_04341b588bde96cd_2017-05-31,28.765
air_049f6d5b402a31b2_2017-04-23,3.143
air_049f6d5b402a31b2_2017-04-24,8.028
air_049f6d5b402a31b2_2017-04-25,8.675
air_049f6d5b402a31b2_2017-04-26,8.700
air_049f6d5b402a31b2_2017-04-27,8.667
air_049f6d5b402a31b2_2017-04-28,13.698
air_049f6d5b402a31b2_2017-04-29,17.116
air_049f6d5b402a31b2_2017-04-30,3.143
air_049f6d5b402a31b2_2017-05-01,8.028
air_049f6d5b402a31b2_2017-05-02,8.675
air_049f6d5b402a31b2_2017-05-03,8.700
air_049f6d5b402a31b2_2017-05-04,8.667
air_049f6d5b402a31b2_2017-05-05,13.698
air_049f6d5b402a31b2_2017-05-06,17.116
air_049f6d5b402a31b2_2017-05-07,3.143
air_049f6d5b402a31b2_2017-05-08,8.028
air_049f6d5b402a31b2_2017-05-09,8.675
air_049f6d5b402a31b2_2017-05-10,8.700
air_049f6d5b402a31b2_2017-05-11,8.667
air_049f6d5b402a31b2_2017-05-12,13.698
air_049f6d5b402a31b2_2017-05-13,17.116
air_049f6d5b402a31b2_2017-05-14,3.143
air_049f6d5b402a31b2_2017-05-15,8.028
air_049f6d5b402a31b2_2017-05-16,8.675
air_049f6d5b402a31b2_2017-05-17,8.700
air_049f6d5b402a31b2_2017-05-18,8.667
air_049f6d5b402a31b2_2017-05-19,13.698
air_049f6d5b402a31b2_2017-05-20,17.116
air_049f6d5b402a31b2_2017-05-21,3.143
air_049f6d5b402a31b2_2017-05-22,8.028
air_049f6d5b402a31b2_2017-05-23,8.675
air_049f6d5b402a31b2_2017-05-24,8.700
air_049f6d5b402a31b2_2017-05-25,8.667
air_049f6d5b402a31b2_2017-05-26,13.698
air_049f6d5b402a31b2_2017-05-27,17.116
air_049f6d5b402a31b2_2017-05-28,3.143
air_049f6d5b402a31b2_2017-05-29,8.028
air_049f6d5b402a31b2_2017-05-30,8.675
air_049f6d5b402a31b2_2017-05-31,8.700
air_04cae7c1bc9b2a0b_2017-04-23,21.366
air_04cae7c1bc9b2a0b_2017-04-24,13.488
air_04cae7c1bc9b2a0b_2017-04-25,16.000
air_04cae7c1bc9b2a0b_2017-04-26,18.829
air_04cae7c1bc9b2a0b_2017-04-27,16.833
air_04cae7c1bc9b2a0b_2017-04-28,26.884
air_04cae7c1bc9b2a0b_2017-04-29,33.905
air_04cae7c1bc9b2a0b_2017-04-30,21.366
air_04cae7c1bc9b2a0b_2017-05-01,13.488
air_04cae7c1bc9b2a0b_2017-05-02,16.000
air_04cae7c1bc9b2a0b_2017-05-03,18.829
air_04cae7c1bc9b2a0b_2017-05-04,16.833
air_04cae7c1bc9b2a0b_2017-05-05,26.884
air_04cae7c1bc9b2a0b_2017-05-06,33.905
air_04cae7c1bc9b2a0b_2017-05-07,21.366
air_04cae7c1bc9b2a0b_2017-05-08,13.488
air_04cae7c1bc9b2a0b_2017-05-09,16.000
air_04cae7c1bc9b2a0b_2017-05-10,18.829
air_04cae7c1bc9b2a0b_2017-05-11,16.833
air_04cae7c1bc9b2a0b_2017-05-12,26.884
air_04cae7c1bc9b2a0b_2017-05-13,33.905
air_04cae7c1bc9b2a0b_2017-05-14,21.366
air_04cae7c1bc9b2a0b_2017-05-15,13.488
air_04cae7c1bc9b2a0b_2017-05-16,16.000
air_04cae7c1bc9b2a0b_2017-05-17,18.829
air_04cae7c1bc9b2a0b_2017-05-18,16.833
air_04cae7c1bc9b2a0b_2017-05-19,26.884
air_04cae7c1bc9b2a0b_2017-05-20,33.905
air_04cae7c1bc9b2a0b_2017-05-21,21.366
air_04cae7c1bc9b2a0b_2017-05-22,13.488
air_04cae7c1bc9b2a0b_2017-05-23,16.000
air_04cae7c1bc9b2a0b_2017-05-24,18.829
air_04cae7c1bc9b2a0b_2017-05-25,16.833
air_04cae7c1bc9b2a0b_2017-05-26,26.884
air_04cae7c1bc9b2a0b_2017-05-27,33.905
air_04cae7c1bc9b2a0b_2017-05-28,21.366
air_04cae7c1bc9b2a0b_2017-05-29,13.488
air_04cae7c1bc9b2a0b_2017-05-30,16.000
air_04cae7c1bc9b2a0b_2017-05-31,18.829
air_0585011fa179bcce_2017-04-23,3.639
air_0585011fa179bcce_2017-04-24,2.351
air_0585011fa179bcce_2017-04-25,2.750
air_0585011fa179bcce_2017-04-26,4.051
air_0585011fa179bcce_2017-04-27,3.850
air_0585011fa179bcce_2017-04-28,3.881
air_0585011fa179bcce_2017-04-29,5.846
air_0585011fa179bcce_2017-04-30,3.639
air_0585011fa179bcce_2017-05-01,2.351
air_0585011fa179bcce_2017-05-02,2.750
air_0585011fa179bcce_2017-05-03,4.051
air_0585011fa179bcce_2017-05-04,3.850
air_0585011fa179bcce_2017-05-05,3.881
air_0585011fa179bcce_2017-05-06,5.846
air_0585011fa179bcce_2017-05-07,3.639
air_0585011fa179bcce_2017-05-08,2.351
air_0585011fa179bcce_2017-05-09,2.750
air_0585011fa179bcce_2017-05-10,4.051
air_0585011fa179bcce_2017-05-11,3.850
air_0585011fa179bcce_2017-05-12,3.881
air_0585011fa179bcce_2017-05-13,5.846
air_0585011fa179bcce_2017-05-14,3.639
air_0585011fa179bcce_2017-05-15,2.351
air_0585011fa179bcce_2017-05-16,2.750
air_0585011fa179bcce_2017-05-17,4.051
air_0585011fa179bcce_2017-05-18,3.850
air_0585011fa179bcce_2017-05-19,3.881
air_0585011fa179bcce_2017-05-20,5.846
air_0585011fa179bcce_2017-05-21,3.639
air_0585011fa179bcce_2017-05-22,2.351
air_0585011fa179bcce_2017-05-23,2.750
air_0585011fa179bcce_2017-05-24,4.051
air_0585011fa179bcce_2017-05-25,3.850
air_0585011fa179bcce_2017-05-26,3.881
air_0585011fa179bcce_2017-05-27,5.846
air_0585011fa179bcce_2017-05-28,3.639
air_0585011fa179bcce_2017-05-29,2.351
air_0585011fa179bcce_2017-05-30,2.750
air_0585011fa179bcce_2017-05-31,4.051
air_05c325d315cc17f5_2017-04-23,26.382
air_05c325d315cc17f5_2017-04-24,18.940
air_05c325d315cc17f5_2017-04-25,17.788
air_05c325d315cc17f5_2017-04-26,20.188
air_05c325d315cc17f5_2017-04-27,19.000
air_05c325d315cc17f5_2017-04-28,20.691
air_05c325d315cc17f5_2017-04-29,27.101
air_05c325d315cc17f5_2017-04-30,26.382
air_05c325d315cc17f5_2017-05-01,18.940
air_05c325d315cc17f5_2017-05-02,17.788
air_05c325d315cc17f5_2017-05-03,20.188
air_05c325d315cc17f5_2017-05-04,19.000
air_05c325d315cc17f5_2017-05-05,20.691
air_05c325d315cc17f5_2017-05-06,27.101
air_05c325d315cc17f5_2017-05-07,26.382
air_05c325d315cc17f5_2017-05-08,18.940
air_05c325d315cc17f5_2017-05-09,17.788
air_05c325d315cc17f5_2017-05-10,20.188
air_05c325d315cc17f5_2017-05-11,19.000
air_05c325d315cc17f5_2017-05-12,20.691
air_05c325d315cc17f5_2017-05-13,27.101
air_05c325d315cc17f5_2017-05-14,26.382
air_05c325d315cc17f5_2017-05-15,18.940
air_05c325d315cc17f5_2017-05-16,17.788
air_05c325d315cc17f5_2017-05-17,20.188
air_05c325d315cc17f5_2017-05-18,19.000
air_05c325d315cc17f5_2017-05-19,20.691
air_05c325d315cc17f5_2017-05-20,27.101
air_05c325d315cc17f5_2017-05-21,26.382
air_05c325d315cc17f5_2017-05-22,18.940
air_05c325d315cc17f5_2017-05-23,17.788
air_05c325d315cc17f5_2017-05-24,20.188
air_05c325d315cc17f5_2017-05-25,19.000
air_05c325d315cc17f5_2017-05-26,20.691
air_05c325d315cc17f5_2017-05-27,27.101
air_05c325d315cc17f5_2017-05-28,26.382
air_05c325d315cc17f5_2017-05-29,18.940
air_05c325d315cc17f5_2017-05-30,17.788
air_05c325d315cc17f5_2017-05-31,20.188
air_0647f17b4dc041c8_2017-04-23,52.667
air_0647f17b4dc041c8_2017-04-24,31.238
air_0647f17b4dc041c8_2017-04-25,4.333
air_0647f17b4dc041c8_2017-04-26,32.857
air_0647f17b4dc041c8_2017-04-27,34.405
air_0647f17b4dc041c8_2017-04-28,32.558
air_0647f17b4dc041c8_2017-04-29,52.930
air_0647f17b4dc041c8_2017-04-30,52.667
air_0647f17b4dc041c8_2017-05-01,31.238
air_0647f17b4dc041c8_2017-05-02,4.333
air_0647f17b4dc041c8_2017-05-03,32.857
air_0647f17b4dc041c8_2017-05-04,34.405
air_0647f17b4dc041c8_2017-05-05,32.558
air_0647f17b4dc041c8_2017-05-06,52.930
air_0647f17b4dc041c8_2017-05-07,52.667
air_0647f17b4dc041c8_2017-05-08,31.238
air_0647f17b4dc041c8_2017-05-09,4.333
air_0647f17b4dc041c8_2017-05-10,32.857
air_0647f17b4dc041c8_2017-05-11,34.405
air_0647f17b4dc041c8_2017-05-12,32.558
air_0647f17b4dc041c8_2017-05-13,52.930
air_0647f17b4dc041c8_2017-05-14,52.667
air_0647f17b4dc041c8_2017-05-15,31.238
air_0647f17b4dc041c8_2017-05-16,4.333
air_0647f17b4dc041c8_2017-05-17,32.857
air_0647f17b4dc041c8_2017-05-18,34.405
air_0647f17b4dc041c8_2017-05-19,32.558
air_0647f17b4dc041c8_2017-05-20,52.930
air_0647f17b4dc041c8_2017-05-21,52.667
air_0647f17b4dc041c8_2017-05-22,31.238
air_0647f17b4dc041c8_2017-05-23,4.333
air_0647f17b4dc041c8_2017-05-24,32.857
air_0647f17b4dc041c8_2017-05-25,34.405
air_0647f17b4dc041c8_2017-05-26,32.558
air_0647f17b4dc041c8_2017-05-27,52.930
air_0647f17b4dc041c8_2017-05-28,52.667
air_0647f17b4dc041c8_2017-05-29,31.238
air_0647f17b4dc041c8_2017-05-30,4.333
air_0647f17b4dc041c8_2017-05-31,32.857
air_064e203265ee5753_2017-04-23,24.071
air_064e203265ee5753_2017-04-24,16.270
air_064e203265ee5753_2017-04-25,17.118
air_064e203265ee5753_2017-04-26,14.667
air_064e203265ee5753_2017-04-27,17.947
air_064e203265ee5753_2017-04-28,19.786
air_064e203265ee5753_2017-04-29,26.326
air_064e203265ee5753_2017-04-30,24.071
air_064e203265ee5753_2017-05-01,16.270
air_064e203265ee5753_2017-05-02,17.118
air_064e203265ee5753_2017-05-03,14.667
air_064e203265ee5753_2017-05-04,17.947
air_064e203265ee5753_2017-05-05,19.786
air_064e203265ee5753_2017-05-06,26.326
air_064e203265ee5753_2017-05-07,24.071
air_064e203265ee5753_2017-05-08,16.270
air_064e203265ee5753_2017-05-09,17.118
air_064e203265ee5753_2017-05-10,14.667
air_064e203265ee5753_2017-05-11,17.947
air_064e203265ee5753_2017-05-12,19.786
air_064e203265ee5753_2017-05-13,26.326
air_064e203265ee5753_2017-05-14,24.071
air_064e203265ee5753_2017-05-15,16.270
air_064e203265ee5753_2017-05-16,17.118
air_064e203265ee5753_2017-05-17,14.667
air_064e203265ee5753_2017-05-18,17.947
air_064e203265ee5753_2017-05-19,19.786
air_064e203265ee5753_2017-05-20,26.326
air_064e203265ee5753_2017-05-21,24.071
air_064e203265ee5753_2017-05-22,16.270
air_064e203265ee5753_2017-05-23,17.118
air_064e203265ee5753_2017-05-24,14.667
air_064e203265ee5753_2017-05-25,17.947
